hys,direction,style,x,y
beta-hys,->,scatter,0.9,0.9999514181999999
beta-hys,->,scatter,1.0,0.9999702101000001
beta-hys,->,scatter,0.1,0.0116309679
beta-hys,->,scatter,0.85,0.9999999982
beta-hys,->,scatter,0.8,0.9986941681999999
beta-hys,->,scatter,0.55,0.9999998385
beta-hys,->,scatter,0.9,0.9999975784999999
beta-hys,->,scatter,0.1,0.0071608766
beta-hys,->,scatter,0.4,0.9984449294
beta-hys,->,scatter,0.2,0.0368895593
beta-hys,->,scatter,0.65,0.9999999909
beta-hys,->,scatter,1.0,0.9999834573999999
beta-hys,->,scatter,0.8,1.0
beta-hys,->,scatter,0.1,0.0071856129
beta-hys,->,scatter,0.9,0.9999791498999999
beta-hys,->,scatter,0.85,0.9996192619
beta-hys,->,scatter,0.5,0.9999880438
beta-hys,->,scatter,0.2,0.0468769449
beta-hys,->,scatter,0.9,0.9999999998000001
beta-hys,->,scatter,0.15,0.0184001526
beta-hys,->,scatter,0.5,1.0
beta-hys,->,scatter,0.9,0.999765511
beta-hys,->,scatter,0.6,0.9999751095999999
beta-hys,->,scatter,0.95,0.9999999071
beta-hys,->,scatter,0.9,0.9995580232
beta-hys,->,scatter,0.25,0.0651661917
beta-hys,->,scatter,0.6,1.0
beta-hys,->,scatter,0.15,0.0264697367
beta-hys,->,scatter,0.25,0.0614063095
beta-hys,->,scatter,0.3,0.1479158167
beta-hys,->,scatter,0.6,0.9990432195000001
beta-hys,->,scatter,0.2,0.0326183513
beta-hys,->,scatter,0.35,0.9996046008
beta-hys,->,scatter,0.4,0.9999999998000001
beta-hys,->,scatter,0.9,1.0
beta-hys,->,scatter,0.3,0.19388729100000002
beta-hys,->,scatter,0.3,0.1558779308
beta-hys,->,scatter,0.5,1.0
beta-hys,->,scatter,0.85,1.0
beta-hys,->,scatter,0.85,0.9999957722
beta-hys,->,scatter,0.55,0.9999515694
beta-hys,->,scatter,0.55,0.9999975154
beta-hys,->,scatter,0.75,0.9999943802
beta-hys,->,scatter,0.55,0.9999814494
beta-hys,->,scatter,0.4,1.0
beta-hys,->,scatter,0.2,0.046230495
beta-hys,->,scatter,0.05,0.0031254648
beta-hys,->,scatter,0.0,6.62e-08
beta-hys,->,scatter,0.9,0.9999983581
beta-hys,->,scatter,0.4,0.9999999398999999
beta-hys,->,scatter,0.05,0.0041738996
beta-hys,->,scatter,0.8,1.0
beta-hys,->,scatter,0.95,0.9999996756
beta-hys,->,scatter,0.75,1.0
beta-hys,->,scatter,0.9,0.9999999212999999
beta-hys,->,scatter,0.05,0.0009370266000000001
beta-hys,->,scatter,1.0,0.9994330392
beta-hys,->,scatter,0.35,0.9999992879
beta-hys,->,scatter,0.4,0.9999989247
beta-hys,->,scatter,0.4,1.0
beta-hys,->,scatter,0.6,0.9997099779999999
beta-hys,->,scatter,0.25,0.09356651449999999
beta-hys,->,scatter,0.5,0.9991201384999999
beta-hys,->,scatter,0.95,0.9962817065
beta-hys,->,scatter,0.75,0.9999999987
beta-hys,->,scatter,0.1,0.0070988
beta-hys,->,scatter,0.25,0.050412362
beta-hys,->,scatter,0.6,0.9999987042
beta-hys,->,scatter,0.95,0.9999999448000001
beta-hys,->,scatter,0.15,0.0185653618
beta-hys,->,scatter,0.6,0.9999915631
beta-hys,->,scatter,0.75,1.0
beta-hys,->,scatter,0.45,0.9999999959
beta-hys,->,scatter,0.95,0.9999986177
beta-hys,->,scatter,0.25,0.074264206
beta-hys,->,scatter,0.85,1.0
beta-hys,->,scatter,0.35,0.9996678045999999
beta-hys,->,scatter,0.75,0.9972139487999999
beta-hys,->,scatter,0.3,0.20332959039999998
beta-hys,->,scatter,0.45,0.9999999912
beta-hys,->,scatter,0.15,0.0172753246
beta-hys,->,scatter,0.85,0.9999999156999999
beta-hys,->,scatter,0.95,1.0
